c,e,Threshold,Cost mean,Cost Std,TC mean,TC std,Loss mean,Loss Std,Recall mean,Recall Std,Precision mean,Precision Std
0.1,1,0.8,150,0,150,0,0.749,0.04,0.874,0.015,0.501,0.006
0.1,1,0.9,150,0,150,0,0.744,0.04,0.878,0.015,0.5,0.006
0.5,0,0.5,150,0,150,0,1.506,0.055,0.497,0.022,0.5,0.015
0.5,0,0.6,150,0,150,0,1.508,0.064,0.497,0.024,0.497,0.018
0.5,0,0.7,150,0,150,0,0.752,0.038,0.874,0.015,0.5,0.006
0.5,0,0.8,150,0,150,0,0.759,0.035,0.872,0.014,0.499,0.006
0.5,0,0.9,150,0,150,0,0.744,0.036,0.877,0.013,0.501,0.007
0.5,0.1,0.5,150,0,150,0,1.493,0.052,0.503,0.021,0.501,0.014
0.5,0.1,0.6,150,0,150,0,1.508,0.052,0.497,0.02,0.499,0.016
0.5,0.1,0.7,150,0,150,0,0.752,0.032,0.874,0.013,0.499,0.005
0.5,0.1,0.8,150,0,150,0,0.75,0.035,0.876,0.013,0.499,0.006
0.5,0.1,0.9,150,0,150,0,0.745,0.036,0.878,0.014,0.5,0.006
0.5,0.2,0.5,150,0,150,0,1.495,0.066,0.501,0.026,0.503,0.017
0.5,0.2,0.6,150,0,150,0,1.504,0.052,0.499,0.021,0.498,0.013
0.5,0.2,0.7,150,0,150,0,0.755,0.036,0.873,0.014,0.499,0.006
0.5,0.2,0.8,150,0,150,0,0.752,0.035,0.874,0.014,0.5,0.006
0.5,0.2,0.9,150,0,150,0,0.751,0.034,0.875,0.013,0.5,0.006
0.5,0.3,0.5,150,0,150,0,1.507,0.053,0.497,0.02,0.499,0.015
0.5,0.3,0.6,150,0,150,0,1.493,0.054,0.504,0.022,0.499,0.013
0.5,0.3,0.7,150,0,150,0,0.742,0.039,0.878,0.015,0.501,0.006
0.5,0.3,0.8,150,0,150,0,0.755,0.03,0.873,0.012,0.499,0.005
0.5,0.3,0.9,150,0,150,0,0.747,0.034,0.876,0.014,0.501,0.005
0.5,0.5,0.5,150,0,150,0,1.507,0.066,0.498,0.025,0.497,0.018
0.5,0.5,0.6,150,0,150,0,1.493,0.049,0.503,0.018,0.501,0.016
0.5,0.5,0.7,150,0,150,0,0.755,0.037,0.873,0.015,0.5,0.006
0.5,0.5,0.8,150,0,150,0,0.749,0.038,0.875,0.016,0.5,0.006
0.5,0.5,0.9,150,0,150,0,0.754,0.041,0.873,0.016,0.5,0.006
0.5,1,0.5,150,0,150,0,1.496,0.06,0.503,0.022,0.499,0.019
0.5,1,0.6,150,0,150,0,1.5,0.052,0.499,0.02,0.501,0.015
0.5,1,0.7,150,0,150,0,0.747,0.036,0.876,0.014,0.5,0.006
0.5,1,0.8,150,0,150,0,0.749,0.033,0.875,0.013,0.501,0.006
0.5,1,0.9,150,0,150,0,0.752,0.036,0.874,0.014,0.5,0.006
1,0,0.5,246.051,5.478,246.051,5.478,0.168,0.027,0.944,0.011,0.943,0.01
1,0,0.6,247.348,6.054,247.348,6.054,0.169,0.024,0.945,0.01,0.939,0.01
1,0,0.7,247.324,5.473,247.324,5.473,0.219,0.025,0.946,0.009,0.847,0.013
1,0,0.8,247.942,5.05,247.942,5.05,0.329,0.018,0.984,0.006,0.63,0.009
1,0,0.9,247.117,5.513,247.117,5.513,0.329,0.02,0.984,0.006,0.63,0.01
1,0.1,0.5,221.563,3.694,221.563,3.694,0.206,0.032,0.931,0.013,0.933,0.011
1,0.1,0.6,222.409,4.515,222.409,4.515,0.207,0.025,0.933,0.01,0.921,0.011
1,0.1,0.7,221.198,3.959,221.198,3.959,0.256,0.028,0.95,0.01,0.785,0.012
1,0.1,0.8,221.608,3.995,221.608,3.995,0.326,0.017,0.985,0.006,0.631,0.008
1,0.1,0.9,221.276,3.925,221.276,3.925,0.333,0.016,0.983,0.006,0.628,0.008
1,0.2,0.5,211.951,3.259,211.951,3.259,0.213,0.028,0.929,0.011,0.928,0.01
1,0.2,0.6,211.928,3.036,211.928,3.036,0.22,0.029,0.932,0.011,0.905,0.013
1,0.2,0.7,211.097,2.575,211.097,2.575,0.256,0.031,0.949,0.011,0.787,0.013
1,0.2,0.8,211.588,3.23,211.588,3.23,0.325,0.018,0.986,0.006,0.63,0.009
1,0.2,0.9,211.005,2.798,211.005,2.798,0.322,0.017,0.985,0.004,0.633,0.009
1,0.3,0.5,150,0,150,0,0.459,0.045,0.847,0.018,0.847,0.014
1,0.3,0.6,150,0,150,0,0.467,0.043,0.845,0.017,0.842,0.017
1,0.3,0.7,150,0,150,0,0.331,0.018,0.984,0.006,0.629,0.009
1,0.3,0.8,150,0,150,0,0.33,0.021,0.984,0.007,0.63,0.007
1,0.3,0.9,150,0,150,0,0.33,0.015,0.984,0.005,0.629,0.007
1,0.5,0.5,150,0,150,0,0.478,0.033,0.84,0.013,0.842,0.014
1,0.5,0.6,150,0,150,0,0.458,0.038,0.848,0.014,0.847,0.018
1,0.5,0.7,150,0,150,0,0.329,0.017,0.984,0.006,0.63,0.008
1,0.5,0.8,150,0,150,0,0.337,0.018,0.982,0.006,0.628,0.009
1,0.5,0.9,150,0,150,0,0.332,0.017,0.984,0.006,0.628,0.007
1,1,0.5,150,0,150,0,0.475,0.036,0.842,0.014,0.843,0.014
1,1,0.6,150,0,150,0,0.464,0.047,0.846,0.019,0.843,0.013
1,1,0.7,150,0,150,0,0.322,0.015,0.986,0.004,0.633,0.008
1,1,0.8,150,0,150,0,0.328,0.016,0.984,0.006,0.63,0.007
1,1,0.9,150,0,150,0,0.334,0.018,0.984,0.006,0.626,0.009
2,0,0.5,726.298,20.988,726.298,20.988,0.011,0.007,0.996,0.003,0.995,0.003
2,0,0.6,726.298,20.988,726.298,20.988,0.012,0.007,0.996,0.003,0.995,0.003
2,0,0.7,726.298,20.988,726.298,20.988,0.078,0.01,0.996,0.003,0.879,0.011
2,0,0.8,726.298,20.988,726.298,20.988,0.233,0.016,0.996,0.003,0.69,0.013
2,0,0.9,726.298,20.988,726.298,20.988,0.35,0.014,0.997,0.003,0.594,0.008
2,0.1,0.5,559.566,13.149,559.566,13.149,0.013,0.006,0.996,0.002,0.995,0.003
2,0.1,0.6,559.566,13.149,559.566,13.149,0.015,0.006,0.996,0.002,0.99,0.005
2,0.1,0.7,559.566,13.149,559.566,13.149,0.097,0.009,0.996,0.002,0.852,0.012
2,0.1,0.8,559.566,13.149,559.566,13.149,0.263,0.012,0.996,0.002,0.663,0.01
2,0.1,0.9,559.566,13.149,559.566,13.149,0.351,0.013,0.997,0.002,0.592,0.008
2,0.2,0.5,381.692,12.205,381.692,12.205,0.057,0.012,0.981,0.004,0.979,0.006
2,0.2,0.6,381.692,12.205,381.692,12.205,0.067,0.012,0.981,0.004,0.96,0.009
2,0.2,0.7,381.692,12.205,381.692,12.205,0.152,0.013,0.982,0.004,0.82,0.014
2,0.2,0.8,381.692,12.205,381.692,12.205,0.243,0.018,0.983,0.005,0.711,0.013
2,0.2,0.9,381.692,12.205,381.692,12.205,0.327,0.018,0.985,0.004,0.63,0.01
2,0.3,0.5,312.81,7.135,312.81,7.135,0.085,0.021,0.972,0.009,0.972,0.007
2,0.3,0.6,312.81,7.135,312.81,7.135,0.095,0.022,0.972,0.009,0.95,0.01
2,0.3,0.7,312.81,7.135,312.81,7.135,0.185,0.023,0.974,0.008,0.801,0.011
2,0.3,0.8,312.81,7.135,312.81,7.135,0.325,0.018,0.985,0.005,0.632,0.01
2,0.3,0.9,312.81,7.135,312.81,7.135,0.325,0.018,0.985,0.005,0.632,0.01
2,0.5,0.5,211.463,2.817,211.463,2.817,0.213,0.028,0.929,0.011,0.928,0.01
2,0.5,0.6,211.463,2.817,211.463,2.817,0.219,0.028,0.932,0.011,0.904,0.012
2,0.5,0.7,211.463,2.817,211.463,2.817,0.254,0.024,0.951,0.009,0.783,0.012
2,0.5,0.8,211.463,2.817,211.463,2.817,0.326,0.016,0.985,0.006,0.632,0.008
2,0.5,0.9,211.463,2.817,211.463,2.817,0.326,0.016,0.985,0.006,0.632,0.008
2,1,0.5,150,0,150,0,0.468,0.039,0.844,0.015,0.844,0.013
2,1,0.6,150,0,150,0,0.468,0.039,0.844,0.015,0.844,0.013
2,1,0.7,150,0,150,0,0.329,0.018,0.985,0.005,0.629,0.009
2,1,0.8,150,0,150,0,0.329,0.018,0.985,0.005,0.629,0.009
2,1,0.9,150,0,150,0,0.329,0.018,0.985,0.005,0.629,0.009
3,0,0.5,1707.6,33.993,1707.6,33.993,0,0,1,0,1,0
3,0,0.6,1707.6,33.993,1707.6,33.993,0,0,1,0,1,0
3,0,0.7,1707.6,33.993,1707.6,33.993,0.06,0.009,1,0,0.892,0.013
3,0,0.8,1707.6,33.993,1707.6,33.993,0.326,0.01,1,0,0.605,0.008
3,0,0.9,1707.6,33.993,1707.6,33.993,0.427,0.007,1,0,0.54,0.004
3,0.1,0.5,1211.206,23.855,1211.206,23.855,0,0.001,1,0,1,0
3,0.1,0.6,1211.206,23.855,1211.206,23.855,0,0.001,1,0,1,0.001
3,0.1,0.7,1211.206,23.855,1211.206,23.855,0.074,0.008,1,0,0.871,0.012
3,0.1,0.8,1211.206,23.855,1211.206,23.855,0.297,0.013,1,0,0.628,0.01
3,0.1,0.9,1211.206,23.855,1211.206,23.855,0.391,0.009,1,0,0.561,0.006
3,0.2,0.5,905.403,16.312,905.403,16.312,0,0.001,1,0,1,0
3,0.2,0.6,905.403,16.312,905.403,16.312,0.002,0.001,1,0,0.997,0.002
3,0.2,0.7,905.403,16.312,905.403,16.312,0.08,0.009,1,0,0.862,0.013
3,0.2,0.8,905.403,16.312,905.403,16.312,0.293,0.012,1,0,0.631,0.009
3,0.2,0.9,905.403,16.312,905.403,16.312,0.433,0.007,1,0,0.536,0.004
3,0.3,0.5,720.74,11.844,720.74,11.844,0.002,0.002,0.999,0.001,0.999,0.001
3,0.3,0.6,720.74,11.844,720.74,11.844,0.007,0.003,0.999,0.001,0.989,0.004
3,0.3,0.7,720.74,11.844,720.74,11.844,0.12,0.009,1,0.001,0.808,0.011
3,0.3,0.8,720.74,11.844,720.74,11.844,0.259,0.01,1,0.001,0.659,0.009
3,0.3,0.9,720.74,11.844,720.74,11.844,0.412,0.008,1,0.001,0.549,0.005
3,0.5,0.5,448.839,8.098,448.839,8.098,0.021,0.009,0.993,0.004,0.992,0.004
3,0.5,0.6,448.839,8.098,448.839,8.098,0.039,0.01,0.994,0.003,0.955,0.011
3,0.5,0.7,448.839,8.098,448.839,8.098,0.134,0.013,0.996,0.003,0.803,0.013
3,0.5,0.8,448.839,8.098,448.839,8.098,0.262,0.015,0.996,0.003,0.664,0.011
3,0.5,0.9,448.839,8.098,448.839,8.098,0.347,0.014,0.997,0.003,0.595,0.008
3,1,0.5,203.133,1.838,203.133,1.838,0.254,0.027,0.915,0.011,0.916,0.011
3,1,0.6,203.133,1.838,203.133,1.838,0.235,0.024,0.935,0.009,0.867,0.012
3,1,0.7,203.133,1.838,203.133,1.838,0.259,0.024,0.949,0.01,0.784,0.013
3,1,0.8,203.133,1.838,203.133,1.838,0.326,0.015,0.985,0.005,0.631,0.008
3,1,0.9,203.133,1.838,203.133,1.838,0.326,0.015,0.985,0.005,0.631,0.008
5,0,0.5,4914.213,80.905,4914.213,80.905,0,0,1,0,1,0
5,0,0.6,4914.213,80.905,4914.213,80.905,0,0,1,0,1,0
5,0,0.7,4914.213,80.905,4914.213,80.905,0.027,0.006,1,0,0.949,0.011
5,0,0.8,4914.213,80.905,4914.213,80.905,0.399,0.01,1,0,0.556,0.006
5,0,0.9,4914.213,80.905,4914.213,80.905,0.494,0.003,1,0,0.503,0.001
5,0.1,0.5,3444.27,51.566,3444.27,51.566,0,0,1,0,1,0
5,0.1,0.6,3444.27,51.566,3444.27,51.566,0,0,1,0,1,0
5,0.1,0.7,3444.27,51.566,3444.27,51.566,0.053,0.007,1,0,0.905,0.012
5,0.1,0.8,3444.27,51.566,3444.27,51.566,0.368,0.011,1,0,0.576,0.007
5,0.1,0.9,3444.27,51.566,3444.27,51.566,0.483,0.004,1,0,0.509,0.002
5,0.2,0.5,2536.063,30.601,2536.063,30.601,0,0,1,0,1,0
5,0.2,0.6,2536.063,30.601,2536.063,30.601,0,0,1,0,1,0
5,0.2,0.7,2536.063,30.601,2536.063,30.601,0.071,0.009,1,0,0.875,0.014
5,0.2,0.8,2536.063,30.601,2536.063,30.601,0.369,0.01,1,0,0.576,0.007
5,0.2,0.9,2536.063,30.601,2536.063,30.601,0.478,0.003,1,0,0.511,0.002
5,0.3,0.5,1948.418,23.349,1948.418,23.349,0,0,1,0,1,0
5,0.3,0.6,1948.418,23.349,1948.418,23.349,0,0,1,0,1,0.001
5,0.3,0.7,1948.418,23.349,1948.418,23.349,0.082,0.008,1,0,0.859,0.012
5,0.3,0.8,1948.418,23.349,1948.418,23.349,0.333,0.009,1,0,0.6,0.007
5,0.3,0.9,1948.418,23.349,1948.418,23.349,0.459,0.006,1,0,0.521,0.003
5,0.5,0.5,1264.455,15.766,1264.455,15.766,0,0,1,0,1,0
5,0.5,0.6,1264.455,15.766,1264.455,15.766,0.002,0.002,1,0,0.996,0.003
5,0.5,0.7,1264.455,15.766,1264.455,15.766,0.104,0.01,1,0,0.828,0.013
5,0.5,0.8,1264.455,15.766,1264.455,15.766,0.302,0.012,1,0,0.623,0.01
5,0.5,0.9,1264.455,15.766,1264.455,15.766,0.449,0.007,1,0,0.527,0.004
5,1,0.5,584.054,5.885,584.054,5.885,0.018,0.009,0.994,0.004,0.994,0.003
5,1,0.6,584.054,5.885,584.054,5.885,0.03,0.006,0.998,0.002,0.952,0.009
5,1,0.7,584.054,5.885,584.054,5.885,0.119,0.01,0.999,0.001,0.81,0.012
5,1,0.8,584.054,5.885,584.054,5.885,0.349,0.01,1,0.001,0.589,0.006
5,1,0.9,584.054,5.885,584.054,5.885,0.434,0.008,1,0,0.535,0.004
